"Timestamp","Age ","Gender","Do you order food from online food apps?  ","Which food app do you use?  ","How frequently do you use food apps? ","How much do you spend on an average on food on each transaction","What time during the day do you order the food most often?","Rate your overall satisfaction with the restaurant that you ordered food recently.","I pay much attention on the price discount offered by vendor.","The money saved by finding lower price usually worth the time and effort.","The time it took to find lower price usually worth the effort.","I am willing to go to extra to find lower price.","Getting coupons from food app, I feel I am getting a good deal.","The restaurant vendor is trustworthy.","Restaurant wants to be known as one who Keep's promises and commitment.","I find it necessary to be cautious with this Restaurant.","I trust this store keeps my best interest in my mind.","This retailer has more to lose than to gain by not delivering on their promise","The food is fresh what delivered by restaurant.","Restaurant has good variety in their menu.","The food is delicious.","Hot food is served by restaurant vendor.","Food is tasty and flavored","Food is quickly delivered","Food is delivered on promised time.","Average on-road time taken is satisfactory.","The rating of the restaurant was high","The reviews of the restaurant was good","I will make purchase again on the food apps.","I will visit food apps again in the future.","I intend to recommend the online food apps that I regularly use to people around me.","I will never purchase from the same vendor."," Have you faced any problems with online food apps?If yes, please state "
"2020/02/23 10:18:46 PM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","750","Dinner","Satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Strongly Agree","Agree",""
"2020/02/23 10:43:50 PM GMT+5:30","22-25","Female","Yes","Zomato","Monthly","250","Lunch","Satisfied","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral",""
"2020/02/23 10:48:57 PM GMT+5:30","18-21;22-25;26-29","Male","Yes","Swiggy","Weekly","250","Snacks","Satisfied","Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Disagree","Neutral","Agree","Disagree",""
"2020/02/23 10:51:03 PM GMT+5:30","26-29","Male","Yes","Zomato","Weekly","250","Lunch","Satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Disagree",""
"2020/02/23 10:51:40 PM GMT+5:30","22-25","Female","Yes","Zomato","Monthly","750","Dinner","Satisfied","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree",""
"2020/02/23 10:57:39 PM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","500","Dinner","Satisfied","Strongly agree","Agree","Strongly agree","Disagree","Neutral","Neutral","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree",""
"2020/02/23 10:58:27 PM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","250","Lunch","Satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/02/23 11:00:06 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250","Dinner","Satisfied","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Strongly agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Order placed in app was rejected by the restaurant "
"2020/02/23 11:06:09 PM GMT+5:30","22-25","Female","Yes","Zomato","Monthly","250","Lunch","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree",""
"2020/02/23 11:10:54 PM GMT+5:30","22-25","Female","Yes","Swiggy","Weekly","250","Dinner","Satisfied","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree",""
"2020/02/23 11:22:21 PM GMT+5:30","","Male","Yes","Swiggy","Weekly","250","Lunch","Neutral","Agree","Neutral","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/02/23 11:26:38 PM GMT+5:30","","Female","Yes","Swiggy","Monthly","250","Lunch","Neutral","Agree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree",""
"2020/02/23 11:27:17 PM GMT+5:30","26-29","Male","Yes","Swiggy","Weekly","250","Dinner","Satisfied","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly disagree","No"
"2020/02/23 11:35:33 PM GMT+5:30","18-21","Female","Yes","Zomato","Daily","250","Dinner","Highly Satisfied","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/02/23 11:45:34 PM GMT+5:30","22-25","Male","Yes","Swiggy","Weekly","250","Dinner","Dissatisfied","Strongly disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Quality of food, though it depends on the vendors, sometimes is not upto what is advertised and/or charged"
"2020/02/24 12:24:39 AM GMT+5:30","","Male","Yes","Swiggy","Weekly","500","Dinner","Neutral","Agree","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/02/24 12:27:37 AM GMT+5:30","22-25","Male","No","Others","Monthly","250","Dinner","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Don't use much"
"2020/02/24 12:38:27 AM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","250","Lunch","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree",""
