State,Population[59],Percent (%),Male,Female,Difference between male and female,Sex ratio,Rural[60],Urban[60],Area[61] (km2),Density (per km2)
Andaman and Nicobar,199812341,16.5,104480510,95331831,9148679,930,155111022,44470455,240928,828
Andhra Pradesh,112374333,9.28,58243056,54131277,4111779,929,61545441,50827531,307713,365
Arunachal Pradesh,104099452,8.6,54278157,49821295,4456862,918,92075028,11729609,94163,1102
Assam,91276115,7.54,46809027,44467088,2341939,950,62213676,29134060,88752,1030
Bihar,72626809,6,37612306,35014503,2597803,931,52537899,20059666,308245,236
Chandigarh,72147030,5.96,36137975,36009055,128920,996,37189229,34949729,130058,555
Chhattisgarh,68548437,5.66,35550997,32997440,2553557,928,51540236,17080776,342239,201
Dadra and Nagar Haveli,61095297,5.05,30966657,30128640,838017,973,37552529,23578175,191791,319
Daman and Diu,60439692,4.99,31491260,28948432,2542828,919,34670817,25712811,196024,308
Delhi,49386799,4.08,24738068,24648731,89337,996,34776389,14610410,160205,308
Goa,41974218,3.47,21212136,20762082,450054,979,34951234,6996124,155707,269
Gujarat,35193978,2.91,17704078,17489900,214178,988,21585313,13608665,114840,307
Haryana,33406061,2.76,16027412,17378649,-1351237,1084,17445506,15932171,38863,859
Himachal Pradesh,32988134,2.72,16930315,16057819,872496,948,25036946,7929292,79714,414
Jammu and Kashmir,31205576,2.58,15939443,15266133,673310,958,26780526,4388756,78438,397
Jharkhand,27743338,2.29,14639465,13103873,1535592,895,17316800,10387436,50362,550
Karnataka,25545198,2.11,12832895,12712303,120592,991,19603658,5936538,135191,189
Kerala,25351462,2.09,13494734,11856728,1638006,879,16531493,8821588,44212,573
Lakshadweep,16787941,1.39,8887326,7800615,1086711,868,944727,12905780,1484,11297
Madhya Pradesh,12541302,1.04,6640662,5900640,740022,889,9134820,3414106,222236,56
Maharashtra,10086292,0.83,5137773,4948519,189254,963,7025583,3091169,53483,189
Manipur,6864602,0.57,3481873,3382729,99144,972,6167805,688704,55673,123
Meghalaya,3673917,0.3,1874376,1799541,74835,960,2710051,960981,10486,350
Mizoram,2966889,0.25,1491832,1475057,16775,989,2368971,595036,22429,132
Nagaland,2855794,0.24,1438687,1417107,21580,985,1899624,822132,22327,128
Odisha,1978502,0.16,1024649,953853,70796,931,1406861,573741,16579,119
Puducherry,1458545,0.12,739140,719405,19735,973,551414,906309,3702,394
Punjab,1383727,0.11,713912,669815,44097,938,1069165,313446,83743,17
Rajasthan,1247953,0.1,612511,635442,-22931,1037,394341,850123,479,2598
Sikkim,1097206,0.09,555339,541867,13472,976,529037,561997,21081,52
Tamil Nadu,1055450,0.09,580663,474787,105876,818,29004,1025682,114,9252
Telangana,610577,0.05,323070,287507,35563,890,455962,151726,7096,86
Tripura,380581,0.03,202871,177710,25161,876,244411,135533,8249,46
Uttar Pradesh,343709,0.03,193760,149949,43811,774,183024,159829,491,698
Uttarakhand,243247,0.02,150301,92946,57355,618,60331,182580,112,2169
West Bengal,64473,0.01,33123,31350,1773,946,14121,50308,32,2013
